iter	Passed	Remaining
0	143	143243
1	144	71903
2	144	48119
3	145	36217
4	146	29102
5	146	24347
6	147	20950
7	148	18399
8	149	16414
9	149	14823
10	150	13522
11	151	12437
12	151	11519
13	152	10732
14	153	10051
15	153	9454
16	154	8926
17	155	8458
18	155	8046
19	156	7670
20	157	7330
21	157	7019
22	158	6735
23	159	6474
24	159	6234
25	160	6012
26	161	5807
27	161	5617
28	162	5440
29	163	5274
30	163	5119
31	164	4974
32	165	4837
33	165	4709
34	166	4587
35	167	4472
36	167	4364
37	168	4261
38	168	4164
39	169	4071
40	170	3985
41	171	3903
42	171	3823
43	172	3746
44	173	3673
45	173	3603
46	174	3536
47	175	3472
48	175	3413
49	176	3354
50	177	3297
51	177	3241
52	178	3188
53	179	3138
54	179	3088
55	180	3041
56	181	2995
57	181	2951
58	182	2908
59	183	2867
60	183	2827
61	184	2789
62	185	2753
63	185	2717
64	186	2682
65	187	2648
66	187	2615
67	188	2582
68	189	2551
69	189	2520
70	190	2490
71	191	2462
72	191	2434
73	192	2407
74	192	2380
75	193	2354
76	194	2328
77	194	2303
78	195	2279
79	196	2255
80	196	2232
81	197	2210
82	197	2185
83	198	2163
84	199	2143
85	199	2123
86	200	2103
87	201	2084
88	201	2065
89	202	2046
90	203	2028
91	203	2010
92	204	1992
93	204	1975
94	205	1958
95	206	1942
96	206	1926
97	207	1910
98	208	1894
99	208	1879
100	209	1864
101	210	1849
102	210	1835
103	211	1821
104	212	1807
105	212	1793
106	213	1780
107	213	1767
108	214	1754
109	215	1743
110	216	1731
111	216	1719
112	217	1707
113	218	1695
114	218	1683
115	219	1672
116	219	1660
117	220	1649
118	221	1638
119	221	1627
120	222	1616
121	223	1605
122	223	1595
123	224	1585
124	225	1575
125	225	1565
126	226	1554
127	226	1545
128	227	1536
129	228	1527
130	228	1518
131	229	1509
132	230	1501
133	230	1492
134	231	1484
135	232	1475
136	232	1467
137	233	1458
138	234	1450
139	234	1442
140	235	1434
141	235	1425
142	236	1417
143	237	1410
144	237	1402
145	238	1395
146	239	1387
147	239	1380
148	240	1373
149	241	1366
150	241	1359
151	242	1352
152	243	1345
153	243	1338
154	244	1332
155	245	1325
156	245	1319
157	246	1313
158	247	1307
159	247	1300
160	248	1293
161	248	1287
162	249	1280
163	250	1274
164	250	1268
165	251	1263
166	252	1257
167	252	1251
168	253	1245
169	254	1240
170	254	1234
171	255	1229
172	255	1223
173	256	1218
174	257	1212
175	257	1207
176	258	1202
177	259	1196
178	259	1191
179	260	1186
180	261	1182
181	261	1177
182	262	1172
183	263	1167
184	263	1162
185	264	1157
186	265	1152
187	265	1147
188	266	1143
189	267	1138
190	267	1133
191	268	1129
192	268	1124
193	269	1120
194	270	1115
195	270	1111
196	271	1106
197	272	1102
198	272	1098
199	273	1093
200	274	1089
201	274	1085
202	275	1081
203	276	1077
204	276	1073
205	277	1069
206	278	1065
207	278	1061
208	279	1057
209	280	1053
210	280	1049
211	281	1045
212	281	1041
213	282	1038
214	283	1034
215	283	1030
216	284	1026
217	285	1022
218	285	1019
219	286	1015
220	287	1011
221	287	1008
222	288	1004
223	288	1001
224	289	997
225	290	994
226	291	991
227	291	987
228	292	984
229	292	980
230	293	977
231	294	974
232	294	970
233	295	967
234	296	964
235	296	960
236	297	957
237	298	954
238	298	951
239	299	948
240	300	944
241	300	941
242	301	938
243	301	935
244	302	932
245	303	929
246	303	926
247	304	923
248	305	920
249	305	917
250	306	914
251	307	911
252	307	908
253	308	905
254	309	903
255	309	900
256	310	897
257	311	894
258	311	891
259	312	888
260	312	886
261	313	883
262	314	880
263	314	878
264	315	875
265	316	872
266	316	869
267	317	867
268	318	864
269	318	861
270	319	859
271	320	856
272	320	853
273	321	851
274	322	849
275	322	847
276	323	844
277	324	841
278	324	839
279	325	836
280	326	834
281	326	832
282	327	829
283	328	826
284	328	824
285	329	822
286	329	819
287	330	817
288	331	814
289	331	812
290	332	810
291	333	807
292	333	805
293	334	803
294	335	800
295	335	798
296	336	796
297	337	794
298	337	792
299	338	789
300	339	787
301	339	785
302	340	783
303	341	781
304	341	778
305	342	776
306	343	774
307	343	772
308	344	769
309	344	767
310	345	765
311	346	763
312	346	761
313	347	759
314	348	756
315	348	754
316	349	752
317	349	750
318	350	748
319	351	746
320	351	744
321	352	742
322	353	740
323	353	738
324	354	736
325	355	734
326	355	732
327	356	730
328	357	728
329	357	726
330	358	724
331	359	722
